회사명,경력,고용형태,연봉,근무지
리젠솔루션,관계없음,정규직,"연봉 2,500만원 ~2,700만원",근무지 서울특별시 동작구 대방동1길 39
디엔씨티 주식회사,관계없음,정규직,"연봉 2,412만원 ~6,000만원",근무지 서울특별시 서초구 논현로 21
지냅스,관계없음,정규직,"연봉 3,000만원 이상",근무지 경기도 성남시 분당구 성남대로 69
(주)에이피네스트,관계없음,정규직,"연봉 3,500만원 ~7,000만원",근무지 서울특별시 강남구 광평로56길 10
우진이앤에스,관계없음,정규직,"연봉 2,800만원 ~4,000만원",근무지 전라북도 전주시 덕진구 기지로 82
에코트로닉스(주),경력(최소 5년 이상),정규직,"연봉 5,000만원 이상",근무지 경기도 성남시 수정구 달래내로 46
이비티(주),관계없음,정규직,월급 220만원 ~450만원,근무지 경기도 성남시 수정구 창업로 54
주식회사 토큰,관계없음,정규직,"연봉 3,000만원 ~3,000만원",근무지 경기도 성남시 분당구 판교역로192번길 16
(주)해솔정보기술,경력(최소 2년 이상),정규직,"연봉 3,500만원 이상",근무지 대구광역시 서구 와룡로 307
엠에스파이프(주),관계없음,정규직,"연봉 3,150만원 이상",근무지 경상북도 포항시 남구 대송면 철강산단로 104
성결대학교,신입,계약직,"연봉 2,760만원 이상",근무지 경기도 안양시 만안구 성결대학로 53
(주)굿링크,경력(최소 3년 이상),정규직,"연봉 4,000만원 이상",근무지 경상남도 진주시 동진로 307
엘케이시스(주),경력(최소 2년 이상),정규직,"연봉 3,100만원 ~5,000만원",근무지 서울특별시 영등포구 선유로3길 10
주식회사 티포러스,관계없음,계약직,월급 230만원 이상,근무지 제주특별자치도 제주시 동문로14길 3
(주)스페이스센싱,관계없음,정규직,월급 210만원 이상,근무지 전라북도 완주군 봉동읍 완주산단6로 224
주식회사퍼즐시스템즈,경력(최소 3년 이상),정규직,"연봉 5,000만원 이상",근무지 서울특별시 영등포구 양평로21길 26
신흥여객자동차(주),경력(최소 3년 이상),정규직,"연봉 4,000만원 이상",근무지 경상남도 창원시 마산회원구 합성옛길 191-11
(주)한누리소방,관계없음,정규직,월급 220만원 ~220만원,근무지 경기도 포천시 소흘읍 호국로 433
구립송파노인요양센터,관계없음,계약직,월급 201만원 이상,근무지 서울특별시 송파구 충민로 184
주식회사아파트엔,신입,정규직,"연봉 3,000만원 ~3,200만원",근무지 서울특별시 서초구 효령로33길 55
주식회사아파트엔,경력(최소 3년 이상),정규직,"연봉 4,200만원 ~5,500만원",근무지 서울특별시 서초구 효령로33길 55
